Year,Value Counts
2009,5329
2007,2227
2002,1763
2008,754
1997,677
1999,123
1998,123
2003,121
2004,120
2000,117
2001,117
2005,102
2006,102
1964,90
1977,90
1962,90
1961,90
1963,90
1976,90
1960,90
1974,90
1973,90
1975,90
1972,88
1971,86
1981,85
1980,85
1979,85
1978,85
1984,79
1967,78
1970,78
1966,78
1983,78
1969,78
1965,78
1968,78
1982,78
1995,77
1993,77
1994,77
1996,77
1985,71
1990,68
1989,68
1992,68
1987,66
1991,66
1988,66
1986,64
