Year,Value Counts
2009,7237
2007,6172
2002,5369
2008,1864
1997,1691
2000,519
2001,516
2006,507
2003,501
2005,495
2004,490
1998,459
1999,450
1989,297
1987,296
1988,291
1995,291
1994,287
1993,283
1992,280
1996,276
1990,274
1982,270
1991,268
1986,268
1984,267
1983,265
1985,260
1980,255
1981,254
1979,252
1978,243
1975,234
1977,229
1976,229
1974,217
1972,169
1964,151
1963,149
1962,149
1973,148
1960,148
1961,147
1967,142
1969,142
1965,142
1966,142
1968,142
1970,140
1971,136
