Year,Value Counts
2009,5470
2007,2858
2002,2347
1997,1037
2008,961
2003,192
2001,184
1998,183
2000,183
2004,180
1999,177
2005,175
2006,175
1990,155
1987,152
1996,152
1995,152
1989,151
1994,149
1988,147
1993,145
1992,139
1991,137
1984,134
1985,134
1982,133
1983,133
1986,132
1980,129
1981,129
1979,122
1978,121
1977,119
1976,118
1974,115
1972,114
1973,113
1975,111
1964,104
1971,98
1960,97
1961,97
1962,97
1963,97
1970,93
1966,93
1967,93
1965,92
1969,92
1968,92
