Year,Value Counts
2009,6216
2007,3356
2002,2718
2008,1248
1997,980
2001,260
2003,256
2004,255
2006,255
2000,255
2005,245
1999,235
1998,235
1993,118
1994,118
1995,117
1996,113
1992,111
1991,108
1990,108
1989,106
1987,104
1988,104
1984,94
1985,94
1980,93
1978,93
1981,93
1979,93
1983,92
1975,90
1976,90
1982,89
1977,89
1974,88
1986,88
1972,87
1973,86
1971,85
1960,85
1961,85
1962,85
1963,84
1964,84
1965,78
1969,78
1966,78
1967,78
1968,78
1970,76
