Year,Value Counts
2009,4350
2007,2438
2002,2178
1997,1004
2008,798
1993,209
1995,209
1994,209
2005,206
2006,206
1991,202
1992,202
1999,200
2003,199
2004,199
1998,195
1988,194
1989,194
1987,194
1990,193
1996,193
2001,190
2000,190
1979,189
1975,186
1984,186
1978,186
1976,185
1977,185
1974,184
1983,183
1982,183
1981,182
1985,182
1980,182
1973,182
1964,175
1972,172
1986,171
1960,170
1961,170
1962,163
1963,163
1970,155
1965,155
1969,155
1966,155
1967,155
1968,155
1971,149
