Year,Value Counts
2009,5728
2007,2298
2002,1906
2008,894
1997,741
2006,111
2005,111
1998,104
1999,104
2003,100
2004,99
2000,98
2001,98
1961,91
1962,91
1963,91
1964,91
1960,91
1965,79
1966,79
1967,78
1974,76
1968,75
1969,75
1971,74
1970,74
1972,74
1993,70
1994,70
1996,70
1995,70
1985,69
1989,68
1984,67
1990,67
1988,66
1992,66
1991,66
1973,65
1975,65
1976,65
1977,65
1980,65
1979,65
1978,65
1987,65
1986,63
1982,62
1983,61
1981,61
