Year,Value Counts
2009,5601
2007,2706
2002,2204
2008,1107
1997,863
1999,184
1998,184
2000,183
2003,180
2004,179
2001,178
2006,168
2005,167
1996,121
1995,121
1994,121
1993,115
1990,109
1992,103
1977,101
1978,101
1989,100
1976,100
1988,99
1979,99
1991,99
1987,97
1986,97
1960,97
1975,97
1961,97
1980,97
1981,97
1974,96
1973,94
1962,93
1963,93
1964,93
1984,93
1985,91
1972,90
1983,90
1982,90
1971,88
1969,80
1968,80
1970,80
1965,78
1967,77
1966,77
