Year,Value Counts
2009,5079
2007,1838
2002,1436
2008,931
1997,556
1960,90
1963,88
1964,88
1961,87
1962,87
1971,74
1968,74
1969,74
1966,74
1967,74
1970,74
1965,74
1972,71
2006,65
2005,65
1974,64
1984,63
1973,62
1998,61
1978,61
1977,61
1975,61
1981,61
1979,61
1983,61
1982,61
1999,61
1976,61
1980,61
1989,59
1993,57
1996,57
1988,57
1994,57
1987,57
1995,57
1985,55
1986,55
2003,54
1991,53
1992,53
2004,53
1990,53
2001,50
2000,50
