Year,Value Counts
2009,5902
2007,2327
2002,1940
2008,1014
1997,708
2001,163
1998,163
2000,162
1999,157
2003,153
2006,151
2005,151
2004,145
1979,90
1974,88
1963,87
1978,87
1980,87
1962,87
1961,87
1964,87
1960,87
1984,86
1973,86
1977,86
1985,86
1976,85
1983,85
1975,85
1981,82
1995,81
1988,81
1996,81
1994,81
1993,81
1972,80
1986,79
1967,78
1970,78
1966,78
1969,78
1989,78
1971,78
1992,78
1965,78
1968,78
1982,77
1987,77
1991,75
1990,75
