Year,Value Counts
2009,3500
2007,2102
2002,1872
1997,885
2008,599
1984,220
1985,220
1987,217
1988,217
1986,214
1989,211
1990,210
1979,210
1978,210
1980,209
1977,203
1982,200
1983,200
1981,197
1994,196
1993,196
1995,196
1991,192
1992,192
1976,190
2003,184
2005,180
2006,180
2004,177
2001,176
2000,176
1973,168
1974,167
1975,167
1972,159
1999,155
1998,150
1996,148
1962,96
1964,96
1961,96
1963,96
1970,95
1967,95
1969,95
1971,95
1968,95
1960,95
1966,83
1965,83
