Year,Value Counts
2009,2526
2007,2268
2002,2072
1997,1042
2008,518
1989,263
1987,261
1988,261
1990,259
1982,255
1984,254
1985,253
1986,252
1996,250
1995,250
1994,250
1983,245
1972,244
1976,243
1993,242
1977,238
1981,238
1973,235
1975,235
2003,235
1992,234
1979,234
1980,233
1978,232
1974,229
1991,226
2001,222
2000,222
1999,218
1998,214
2004,189
2005,184
2006,184
1970,171
1969,171
1968,171
1971,171
1967,171
1964,169
1966,161
1965,160
1962,145
1963,145
1961,140
1960,140
