Year,Value Counts
2009,5309
2007,2607
2002,2248
1997,923
2008,892
2005,133
2006,133
2004,121
2003,120
1999,113
1998,113
2000,112
2001,112
1962,111
1961,111
1960,111
1964,111
1963,111
1990,105
1994,103
1996,103
1985,102
1989,101
1992,100
1991,100
1972,100
1988,99
1995,99
1993,99
1987,99
1986,98
1975,98
1984,98
1974,98
1978,95
1977,95
1980,94
1981,94
1976,94
1982,94
1973,93
1983,92
1970,92
1969,92
1965,88
1971,88
1966,88
1979,88
1967,88
1968,88
