Year,Value Counts
2009,4755
2007,2435
2002,2218
1997,882
2008,800
1990,177
2005,175
2006,175
1989,175
1988,173
2001,167
2000,167
1996,166
1995,166
2004,163
1991,163
1994,162
1993,162
1999,162
1998,161
2003,161
1992,159
1987,158
1984,146
1986,144
1985,142
1983,138
1982,136
1981,126
1980,126
1978,124
1979,124
1974,123
1977,123
1976,123
1975,123
1970,114
1971,113
1972,112
1973,110
1960,98
1961,98
1962,98
1963,98
1964,98
1966,84
1967,83
1965,80
1968,80
1969,75
