Value,Value Counts
386,2
"8,496,000",2
554,2
"2,220,000",2
7.4,2
"1,325,000",2
171,2
"1,674",2
366,2
"8,510,000",2
"1,663,000",2
"98,000",2
2.11,2
"21,800",2
"41,655",2
"6,662,000",2
2.45,2
"104,166",2
"2,355",2
176,2
"838,000",2
287,2
"5,550,000",2
"10,446",2
"10,364",2
"3,496,000",2
"120,391",2
"7,529",2
"132,544",2
"25,500",2
"322,000",2
"2,100,000",2
"69,808",2
228,2
3.55,2
"329,162",2
446,2
"6,544",2
"20,266",2
19.5,2
"181,166",2
"3,405,000",2
"18,800",2
"133,000",2
296,2
"10,700,000",2
274,2
"512,000",2
"27,000",2
246,2
"1,218,000",2
"1,857,000",2
"2,978",2
41.5,2
263,2
"128,771",2
"2,200,000",2
148,2
"1,987,000",2
"940,000",2
"37,000",2
195,2
119,2
"1,358,000",2
"12,250,000",2
"2,479,000",2
"736,746",2
"580,000",2
348,2
536,2
"555,000",2
52.5,2
"10,664",2
"135,895",2
"1,512,000",2
"111,559",2
"12,100,000",2
39.3,2
154,2
226,2
"19,800",2
"2,079,000",2
"3,874",2
"7,000,000",2
"1,730,000",2
"768,000",2
"11,764,000",2
667,2
"576,000",2
"33,864",2
"6,306",2
"429,000",2
"1,423",2
"450,000",2
"109,000",2
206,2
"216,000",2
"3,651,000",2
"12,930",2
"1,444,000",2
"2,134",2
"165,000",2
"878,000",2
"13,200",2
"4,825",2
"1,034",2
"22,519",2
198,2
"1,344,000",2
16.5,2
131,2
"13,600,000",2
14.8,2
"25,715",2
"4,485,000",2
"39,200",2
"2,270",2
0.1,2
"1,175",2
"113,287",2
881,2
"22,500",2
"295,340",2
376,2
"1,030",2
3.3,2
"5,070,000",2
"2,614,000",2
"4,500,000",2
"50,641",2
"5,740,000",2
"976,000",2
"2,150,000",2
259,2
"922,000",2
"240,048",2
"9,600,000",2
203,2
"29,000",2
109,2
"59,000",2
189,2
"32,218",2
"3,878,000",2
"8,700,000",2
"13,818",2
"12,953",2
"17,900",2
"43,896",2
"4,480",2
"6,313",2
"7,200,000",2
"208,000",2
"2,113",2
256,2
3.2,2
"190,000",2
"2,809",2
"1,890,000",2
855,2
"3,750,000",2
143,2
"7,900,000",2
"1,140,000",2
"2,909",2
"1,386,000",2
"1,560,000",2
"1,230,000",2
"28,600",2
505,2
"3,344",2
"211,252",2
"5,679,000",2
"2,341",2
"12,706",2
97,2
"232,338",2
"2,233,000",2
"4,200,000",2
"340,000",2
"3,754",2
