type,state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
prcp,AR,2012,76.79,77.98,150.15,57.49,46.91,48.81,58.01,92.60,137.61,78.38,39.39,86.23
prcp,AR,2013,136.61,101.30,94.83,134.92,184.91,71.77,117.15,121.75,89.23,118.93,87.39,122.90
prcp,AR,2014,46.90,53.86,96.76,142.99,156.09,144.53,96.33,62.05,71.35,148.37,57.99,71.80
prcp,AR,2015,76.55,71.75,199.65,134.24,285.94,98.37,165.61,93.53,43.25,75.80,262.47,232.51
prcp,AR,2016,40.57,52.31,214.07,130.12,134.75,73.58,132.69,152.25,61.97,38.16,75.85,72.82
prcp,AR,2017,64.90,59.30,114.33,232.09,185.85,102.73,101.98,148.33,29.50,52.73,29.95,121.18
prcp,AR,2018,66.38,271.99,130.14,124.06,87.39,72.87,75.74,172.63,129.83,110.97,120.81,176.26
prcp,AR,2019,115.40,190.80,99.93,182.29,269.69,159.39,128.92,134.42,73.05,183.95,137.22,54.00
prcp,AR,2020,155.07,129.17,187.90,148.25,187.93,93.49,101.11,159.19,137.41,117.39,55.39,88.62
prcp,AR,2021,104.70,76.69,,,,,,,,,,
prcp,AZ,1990,24.86,26.88,18.29,20.28,8.53,6.42,74.44,55.32,55.18,13.58,21.66,32.68
prcp,AZ,1991,27.40,18.33,82.74,0.14,0.82,8.61,22.98,50.74,28.76,15.40,32.18,46.28
prcp,AZ,1992,30.22,44.86,66.83,8.92,51.20,5.38,43.68,88.29,8.51,17.06,2.33,80.33
prcp,AZ,1993,129.64,77.19,22.93,0.57,12.34,2.61,9.39,57.96,7.46,28.39,31.30,5.27
prcp,AZ,1994,3.30,32.35,25.58,15.84,14.28,4.39,27.90,42.20,37.51,20.48,28.00,52.02
prcp,AZ,1995,62.37,36.39,36.53,14.27,5.73,1.86,14.30,55.96,33.18,1.84,13.76,5.04
prcp,AZ,1996,3.89,27.06,9.84,1.07,0.88,8.11,52.80,30.57,50.36,15.38,18.72,4.85
prcp,AZ,1997,49.66,20.73,3.67,19.54,9.22,6.08,18.24,53.20,52.14,15.92,13.97,39.28
prcp,AZ,1998,15.31,67.96,44.89,15.51,5.86,1.09,51.29,45.82,30.38,26.45,18.37,9.23
prcp,AZ,1999,4.46,7.60,4.62,31.68,4.04,8.87,85.06,65.63,48.14,0.19,0.00,0.66
prcp,AZ,2000,6.76,19.02,43.82,2.59,0.10,22.87,9.17,62.24,4.73,93.58,21.51,3.25
prcp,AZ,2001,37.60,21.56,25.71,21.38,8.40,5.03,34.14,53.68,8.92,13.69,6.66,20.72
prcp,AZ,2002,3.26,2.21,5.72,4.36,0.15,0.01,39.83,15.82,43.26,15.59,13.88,19.60
prcp,AZ,2003,7.75,63.55,25.99,4.71,1.36,1.04,30.42,55.40,27.32,7.30,26.88,13.18
prcp,AZ,2004,15.99,21.92,20.49,32.52,0.01,1.58,29.79,37.46,36.74,45.96,36.22,38.32
prcp,AZ,2005,73.65,83.32,20.01,14.36,3.78,6.08,27.00,56.31,7.13,16.61,1.14,0.72
prcp,AZ,2006,2.45,1.14,35.08,6.72,0.85,6.94,57.05,58.27,32.50,28.51,1.12,8.08
prcp,AZ,2007,17.26,14.27,19.10,4.24,5.27,2.18,62.32,52.24,20.36,3.07,11.46,57.04
prcp,AZ,2008,46.90,24.14,1.63,0.17,13.54,1.87,60.50,55.80,14.22,6.13,20.58,51.24
prcp,AZ,2009,8.59,23.18,4.31,7.14,14.79,6.59,27.63,17.88,18.05,3.39,4.13,32.64
prcp,AZ,2010,83.52,30.53,25.90,5.43,0.93,0.97,53.56,42.10,14.68,35.26,6.10,38.58
prcp,AZ,2011,0.82,27.54,8.85,8.28,4.85,0.68,40.24,32.53,32.62,14.50,21.22,31.24
prcp,AZ,2012,5.45,8.83,19.03,7.92,0.70,1.09,56.26,48.30,22.39,4.66,5.09,31.00
prcp,AZ,2013,30.79,13.74,13.43,3.65,1.19,1.28,60.38,51.52,35.64,3.92,40.26,10.29
prcp,AZ,2014,0.86,2.25,24.84,5.82,0.92,0.03,44.44,83.94,62.90,16.21,2.23,31.60
prcp,AZ,2015,37.15,15.28,29.96,9.58,20.62,13.50,40.30,42.48,25.29,40.58,17.92,10.13
prcp,AZ,2016,29.98,7.26,2.09,14.41,12.36,10.66,35.96,66.36,34.84,9.52,20.60,45.29
prcp,AZ,2017,39.27,26.01,9.83,3.53,6.71,0.88,63.82,34.43,10.83,0.38,0.56,2.50
prcp,AZ,2018,11.81,22.04,9.14,0.29,2.98,6.30,64.75,50.44,16.45,61.17,5.97,11.84
prcp,AZ,2019,32.84,65.15,29.60,4.22,21.28,1.81,20.98,23.24,37.02,0.70,72.00,37.24
prcp,AZ,2020,8.61,23.08,53.01,8.14,1.89,0.74,16.52,17.50,3.64,2.42,6.37,6.17
