type,state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
prcp,VA,1993,90.47,69.76,179.63,102.01,83.27,66.12,76.22,65.34,92.96,62.92,105.16,103.34
prcp,VA,1994,107.61,116.82,185.22,65.19,65.95,76.29,166.38,119.12,60.90,44.00,64.35,40.63
prcp,VA,1995,126.21,48.31,55.79,43.22,120.62,194.25,91.41,46.70,89.32,145.98,87.06,51.57
prcp,VA,1996,148.54,68.56,96.49,69.20,135.35,117.81,146.00,139.72,211.15,81.54,94.36,124.76
prcp,VA,1997,67.83,71.88,113.66,75.32,45.95,88.71,128.62,55.02,84.85,64.05,115.03,68.36
prcp,VA,1998,172.26,164.02,127.01,123.86,132.71,115.61,50.25,76.58,40.99,37.07,29.13,87.60
prcp,VA,1999,122.92,52.89,86.04,67.89,63.56,44.97,93.53,87.40,254.08,65.17,52.91,58.25
prcp,VA,2000,75.84,45.63,79.49,115.38,82.81,132.24,125.48,113.73,135.99,1.94,44.32,51.46
prcp,VA,2001,55.69,49.55,115.07,40.45,124.46,115.68,123.71,96.91,56.60,23.02,16.06,56.97
prcp,VA,2002,62.72,20.66,107.65,84.96,90.33,61.15,102.01,65.58,94.65,141.17,125.02,109.24
prcp,VA,2003,57.51,156.47,103.25,114.53,178.36,171.53,156.40,133.75,219.40,67.05,109.94,100.68
prcp,VA,2004,46.03,69.12,57.13,103.77,116.78,127.74,147.52,129.43,197.73,52.98,105.36,74.35
prcp,VA,2005,79.97,41.73,94.45,81.00,72.34,58.07,134.39,94.25,18.41,137.26,92.66,80.21
prcp,VA,2006,79.50,39.47,19.66,87.16,59.39,188.52,86.58,73.79,169.76,173.50,126.14,47.66
prcp,VA,2007,73.68,56.47,89.88,98.89,59.02,95.93,79.29,84.49,34.47,115.79,26.06,78.66
prcp,VA,2008,36.86,66.46,75.71,139.57,104.59,64.00,90.23,102.25,110.79,35.66,74.54,98.00
prcp,VA,2009,73.88,23.44,93.60,84.72,165.39,124.62,100.39,106.31,94.33,77.92,159.13,177.12
prcp,VA,2010,109.28,82.24,107.84,42.65,101.48,54.31,71.81,101.38,129.05,88.41,54.48,69.74
prcp,VA,2011,38.71,42.35,132.37,125.14,115.18,83.22,119.72,117.90,173.29,99.54,100.06,91.06
prcp,VA,2012,59.35,65.65,103.97,75.85,113.67,78.36,103.06,124.57,102.87,106.69,19.62,75.65
prcp,VA,2013,143.03,57.72,93.77,93.27,111.89,166.72,155.95,112.44,38.27,71.72,76.02,136.96
prcp,VA,2014,68.29,91.82,83.58,118.93,117.91,98.06,93.67,109.02,67.18,107.67,77.97,80.51
prcp,VA,2015,62.45,61.89,94.78,114.92,61.96,153.52,119.28,58.86,152.34,110.96,92.36,125.33
prcp,VA,2016,72.54,117.01,53.52,53.92,165.24,119.79,123.08,79.81,126.79,81.30,34.26,83.40
prcp,VA,2017,98.10,19.19,81.14,119.77,184.64,79.52,105.87,114.52,50.57,111.93,31.23,26.33
prcp,VA,2018,59.95,114.92,76.49,108.27,172.46,154.68,123.87,161.78,195.36,118.13,148.28,134.57
prcp,VA,2019,85.32,126.34,83.83,105.72,89.89,126.99,121.41,86.41,24.91,127.94,59.67,77.45
prcp,VA,2020,84.16,116.85,74.29,155.45,117.59,111.58,106.42,199.38,147.66,120.86,125.82,125.85
prcp,VA,2021,74.11,111.47,,,,,,,,,,
prcp,VT,1990,80.23,68.96,63.73,90.38,117.89,109.29,94.28,158.98,61.93,153.90,73.14,120.45
prcp,VT,1991,56.16,26.62,80.11,74.09,74.31,43.48,68.54,134.41,120.51,107.74,49.49,62.16
prcp,VT,1992,56.51,50.44,69.75,73.60,58.49,65.15,101.94,76.81,98.95,74.14,101.98,33.81
prcp,VT,1993,62.81,62.33,70.50,94.56,48.76,95.38,76.58,95.23,94.25,71.98,70.81,57.91
prcp,VT,1994,83.74,31.34,89.16,89.21,103.71,95.59,93.25,121.35,84.46,22.20,68.19,57.75
prcp,VT,1995,61.61,48.86,48.54,48.62,50.96,29.12,113.34,116.54,88.60,193.01,96.86,64.96
prcp,VT,1996,105.85,40.20,31.01,143.90,131.36,101.75,169.05,59.95,71.80,125.43,89.06,112.10
prcp,VT,1997,63.14,49.41,74.90,66.06,81.26,66.59,108.19,151.38,71.65,43.78,114.76,57.23
prcp,VT,1998,134.62,52.73,89.95,58.00,74.06,203.05,142.40,132.33,107.08,63.95,58.62,30.10
prcp,VT,1999,119.01,27.84,91.00,18.34,84.40,50.59,83.54,56.53,213.98,89.98,64.92,33.65
prcp,VT,2000,78.30,79.75,67.31,140.31,140.86,81.10,105.78,96.03,65.84,64.35,66.60,100.33
prcp,VT,2001,32.41,55.80,128.28,18.73,55.11,101.12,63.20,58.08,82.31,40.36,55.71,52.33
prcp,VT,2002,47.04,66.94,70.35,97.73,97.51,157.65,86.23,43.15,126.40,89.76,101.84,53.10
prcp,VT,2003,39.03,32.08,58.80,58.48,106.08,71.78,110.94,109.60,102.83,160.71,103.94,156.14
prcp,VT,2004,27.31,24.68,34.54,66.53,121.79,73.70,138.53,175.93,63.62,28.16,77.00,98.34
prcp,VT,2005,57.34,48.55,54.30,108.39,52.66,134.80,109.81,84.98,77.16,213.66,115.00,63.98
prcp,VT,2006,100.26,44.29,34.49,74.48,180.30,201.60,124.95,110.40,70.17,168.69,60.88,94.44
prcp,VT,2007,73.04,54.56,73.50,106.64,66.96,73.61,149.80,53.09,75.46,137.62,106.33,103.73
prcp,VT,2008,43.53,118.90,108.49,74.16,34.49,149.50,182.71,134.01,50.84,124.91,52.39,108.06
prcp,VT,2009,55.04,47.76,47.18,52.89,132.18,106.85,148.38,84.89,61.90,103.05,92.34,77.50
prcp,VT,2010,47.62,63.28,76.26,74.61,44.06,137.51,107.41,110.34,89.85,219.28,72.84,99.04
prcp,VT,2011,44.19,79.03,92.61,148.41,187.94,86.84,79.81,232.29,126.60,92.16,48.66,71.09
prcp,VT,2012,57.89,22.25,33.56,68.75,139.34,83.76,81.94,70.50,133.83,118.66,24.44,98.75
prcp,VT,2013,34.86,41.94,52.18,52.04,134.71,172.11,140.43,68.28,95.03,59.78,71.90,77.91
prcp,VT,2014,70.31,52.64,54.43,74.70,108.15,106.83,147.30,65.89,43.53,112.04,54.41,100.11
prcp,VT,2015,54.10,34.43,29.29,57.74,82.18,199.04,110.73,70.25,118.89,82.66,36.66,109.90
prcp,VT,2016,32.30,96.71,62.80,48.04,65.00,80.56,93.58,100.43,47.58,75.99,62.81,71.90
prcp,VT,2017,50.98,67.49,74.78,90.95,128.16,157.90,98.54,75.91,72.23,95.45,47.06,64.74
prcp,VT,2018,74.09,52.61,69.14,105.86,43.11,90.69,93.38,80.60,83.74,105.83,142.24,76.11
prcp,VT,2019,106.34,56.78,49.81,118.75,136.88,141.11,69.45,92.69,79.18,155.14,94.95,70.91
prcp,VT,2020,63.96,63.48,59.16,76.14,68.83,49.83,88.01,107.80,58.31,91.79,56.36,71.15
prcp,VT,2021,44.08,43.48,,,,,,,,,,
prcp,WA,1990,184.35,123.64,63.92,66.81,67.91,69.25,21.80,43.51,5.05,129.00,199.72,103.98
prcp,WA,1991,97.79,104.48,81.48,97.15,61.78,47.00,16.30,51.36,4.38,34.32,155.42,85.00
prcp,WA,1992,140.15,72.86,26.08,94.21,13.43,41.63,38.65,21.97,45.34,51.76,131.69,95.63
prcp,WA,1993,83.75,13.89,80.90,112.59,70.86,64.80,55.41,18.48,7.07,39.88,46.73,119.05
prcp,WA,1994,82.31,101.12,66.44,60.12,41.28,48.37,13.33,9.45,28.20,110.99,145.39,157.34
prcp,WA,1995,121.42,93.45,98.92,64.58,32.57,45.79,30.40,39.46,39.72,112.95,224.49,147.74
prcp,WA,1996,139.46,155.52,44.62,123.37,79.06,25.34,16.36,14.19,51.13,131.37,146.30,229.23
prcp,WA,1997,162.22,76.15,166.63,84.53,67.35,66.68,39.26,25.23,79.44,145.18,92.60,90.47
prcp,WA,1998,171.30,90.40,91.32,34.28,82.32,33.33,24.78,5.60,14.11,63.10,215.41,207.58
prcp,WA,1999,154.84,191.04,94.22,32.53,56.89,49.59,24.73,29.36,7.15,77.80,178.59,150.87
prcp,WA,2000,123.17,86.78,85.79,56.53,76.53,49.97,17.60,10.91,46.32,70.53,66.10,70.68
prcp,WA,2001,67.49,42.55,78.69,71.85,46.04,60.20,18.30,35.48,20.32,94.71,160.95,157.45
prcp,WA,2002,151.23,87.53,91.19,64.93,45.05,40.61,11.64,7.94,19.20,17.73,79.64,146.75
prcp,WA,2003,164.10,52.65,143.32,84.96,31.95,13.43,5.72,8.18,32.40,137.62,133.59,108.46
prcp,WA,2004,138.22,66.43,65.75,29.39,69.90,31.93,9.15,74.71,59.91,77.71,90.55,106.02
prcp,WA,2005,95.10,23.90,97.15,79.63,78.16,46.55,25.06,13.55,33.63,92.65,118.08,139.49
prcp,WA,2006,243.23,67.42,67.67,65.55,55.57,49.68,8.95,5.09,29.07,40.18,278.42,140.68
prcp,WA,2007,109.60,96.23,119.93,45.90,34.43,41.73,28.59,17.40,31.05,94.48,79.24,171.49
prcp,WA,2008,110.73,68.40,91.70,47.47,37.14,46.55,11.03,51.42,16.56,47.88,152.18,115.58
prcp,WA,2009,135.62,40.57,96.71,59.90,71.75,18.57,12.68,21.73,35.04,115.55,178.11,65.10
prcp,WA,2010,138.21,70.11,77.45,79.68,97.71,71.09,10.04,14.35,78.18,91.97,114.66,153.87
prcp,WA,2011,138.00,75.77,150.07,100.57,89.70,32.73,27.22,5.59,28.63,71.09,123.68,62.91
prcp,WA,2012,125.68,98.89,154.81,86.35,57.69,84.17,28.77,1.74,3.76,135.94,146.88,160.23
prcp,WA,2013,86.71,54.61,77.53,93.75,65.44,47.14,1.85,29.45,108.33,29.00,85.94,58.78
prcp,WA,2014,84.88,114.26,151.21,77.94,62.46,37.44,19.35,28.58,40.83,122.13,115.79,125.55
prcp,WA,2015,113.74,86.60,91.44,40.86,28.25,9.90,8.56,27.96,36.46,82.80,148.40,223.13
prcp,WA,2016,135.25,106.86,142.50,35.39,33.45,42.16,23.99,8.89,37.18,198.81,152.98,104.47
prcp,WA,2017,72.54,137.13,176.40,100.09,60.12,36.09,1.75,2.95,28.79,101.15,178.10,115.74
prcp,WA,2018,164.45,90.27,71.78,122.83,22.87,30.41,4.72,7.73,38.34,76.86,111.26,147.00
prcp,WA,2019,91.81,79.94,29.57,80.72,35.86,24.13,21.93,20.56,78.33,84.28,42.29,112.52
prcp,WA,2020,227.96,107.10,60.05,32.18,80.50,54.39,10.12,12.58,47.91,81.55,136.33,139.24
prcp,WA,2021,145.77,117.75,,,,,,,,,,
prcp,WI,1990,29.33,18.71,74.87,65.01,118.41,167.20,67.43,145.78,75.70,67.23,39.26,47.94
prcp,WI,1991,19.93,12.33,70.77,101.31,111.16,89.89,125.98,61.14,112.57,100.11,120.96,38.27
prcp,WI,1992,19.60,22.96,48.23,76.47,47.10,40.07,118.43,68.93,151.85,34.53,104.24,50.73
prcp,WI,1993,38.23,15.81,34.00,131.78,123.88,197.17,143.67,109.72,87.53,41.09,42.21,11.42
prcp,WI,1994,34.14,34.27,16.92,83.12,40.47,101.44,131.79,107.07,96.00,34.56,54.79,17.31
prcp,WI,1995,23.36,7.11,49.90,81.41,89.18,47.03,83.93,172.76,44.60,122.78,54.48,19.39
prcp,WI,1996,64.37,13.78,29.26,64.83,67.13,171.21,97.88,53.14,56.58,86.86,44.30,36.37
prcp,WI,1997,47.20,31.58,41.53,28.67,81.74,122.69,114.56,110.32,73.43,46.97,17.01,19.27
prcp,WI,1998,44.00,34.25,92.01,71.02,81.27,152.47,44.53,111.62,51.85,72.25,46.12,21.11
prcp,WI,1999,64.35,28.87,10.32,125.62,118.13,107.47,185.54,79.56,52.96,29.27,33.10,21.79
prcp,WI,2000,29.01,28.75,30.93,71.73,133.97,171.47,101.17,97.88,114.02,21.09,60.16,48.92
prcp,WI,2001,32.21,46.53,14.63,115.16,129.76,121.39,58.13,117.12,116.40,64.93,53.05,29.14
prcp,WI,2002,14.36,43.00,53.55,104.54,75.92,148.14,82.05,119.18,114.04,86.07,11.59,14.60
prcp,WI,2003,10.00,14.72,43.47,62.85,118.53,77.92,81.43,44.97,76.31,34.51,96.71,34.50
prcp,WI,2004,20.17,38.48,84.12,49.94,220.47,124.85,71.62,74.55,32.37,82.21,44.36,40.79
prcp,WI,2005,48.49,32.24,26.95,37.45,65.84,87.63,81.53,72.11,89.43,46.69,79.98,26.11
prcp,WI,2006,39.69,22.27,49.70,83.53,110.17,63.06,102.61,89.06,88.06,73.02,50.37,47.58
prcp,WI,2007,25.97,33.03,58.00,73.27,64.56,75.54,83.02,216.48,68.47,113.66,6.96,75.56
prcp,WI,2008,42.58,53.21,29.32,143.05,74.60,190.35,106.39,39.39,66.00,52.64,34.01,69.17
prcp,WI,2009,16.24,33.67,64.76,93.82,81.36,83.48,54.10,123.17,31.17,131.75,24.63,66.82
prcp,WI,2010,21.89,16.12,18.22,73.73,93.32,183.27,217.40,96.93,135.20,54.77,34.56,44.43
prcp,WI,2011,22.58,38.04,66.00,102.52,83.25,114.40,112.52,69.89,83.67,39.20,64.00,41.39
prcp,WI,2012,27.76,26.24,58.73,69.07,110.39,65.57,78.31,60.10,42.02,105.92,26.45,53.97
prcp,WI,2013,47.47,45.37,47.78,132.77,138.13,165.07,53.30,57.70,56.37,80.16,63.07,35.63
prcp,WI,2014,27.94,30.17,29.58,134.13,87.34,167.61,61.08,127.93,79.95,83.40,46.83,31.00
prcp,WI,2015,14.40,12.74,17.65,78.61,115.33,115.96,71.95,93.43,110.33,59.88,88.50,116.41
prcp,WI,2016,20.99,18.64,98.45,50.98,82.13,131.00,137.35,134.45,152.26,73.72,47.93,49.73
prcp,WI,2017,53.27,32.22,61.59,118.40,117.90,157.04,113.14,86.83,44.25,110.55,22.93,22.17
prcp,WI,2018,30.40,41.27,20.84,66.91,132.24,139.91,76.93,162.53,153.64,140.60,47.51,37.84
prcp,WI,2019,45.07,72.14,32.83,89.04,143.68,103.81,132.68,96.82,199.99,124.70,51.26,62.26
prcp,WI,2020,35.23,19.19,83.22,57.00,111.35,127.40,137.01,88.13,86.05,81.36,52.27,19.98
prcp,WI,2021,24.67,22.32,,,,,,,,,,
prcp,WV,1990,92.68,93.62,59.91,89.35,160.73,91.55,155.25,106.27,94.12,130.40,48.79,177.35
prcp,WV,1991,100.35,74.12,143.10,75.82,49.26,51.09,110.86,74.41,84.33,44.90,82.52,151.35
prcp,WV,1992,57.87,73.66,121.84,70.49,98.28,72.53,164.28,107.66,78.07,28.88,74.04,99.88
prcp,WV,1993,59.41,67.54,160.22,92.04,58.38,80.38,72.92,81.35,158.87,74.32,98.21,100.09
prcp,WV,1994,160.88,142.65,180.40,95.65,112.38,91.32,141.46,158.54,64.34,26.82,69.02,71.08
prcp,WV,1995,120.97,68.65,55.55,63.15,164.86,141.22,84.40,90.59,69.78,93.58,90.65,64.25
prcp,WV,1996,144.78,88.08,109.35,86.06,214.57,106.62,184.45,117.68,158.49,77.08,99.92,91.38
prcp,WV,1997,58.45,50.24,186.12,47.82,118.65,106.78,92.85,106.62,80.13,30.58,100.51,71.94
prcp,WV,1998,116.20,108.06,101.38,119.10,127.97,205.61,80.50,71.64,50.15,46.85,38.65,72.25
prcp,WV,1999,144.42,69.89,102.74,77.50,73.21,54.52,88.32,74.47,73.20,77.85,86.87,79.11
prcp,WV,2000,52.58,107.72,77.38,116.82,111.22,138.49,125.75,120.80,105.06,26.59,41.02,56.32
prcp,WV,2001,64.32,55.43,91.99,58.63,151.89,105.40,174.75,99.03,64.02,32.45,35.35,65.68
prcp,WV,2002,82.17,27.79,137.49,149.76,126.68,116.27,128.90,53.09,86.40,137.70,100.19,85.28
prcp,WV,2003,60.69,149.75,48.89,93.21,183.41,166.12,153.97,124.92,162.59,81.35,166.60,84.23
prcp,WV,2004,87.35,71.07,110.08,137.53,177.99,119.70,127.21,109.92,172.35,95.88,98.50,80.43
prcp,WV,2005,107.89,63.17,103.64,100.60,87.78,52.95,139.82,118.59,30.18,115.55,95.82,70.11
prcp,WV,2006,98.52,33.38,48.42,115.81,78.68,152.75,113.80,80.94,134.14,139.27,66.41,46.63
prcp,WV,2007,90.28,64.27,98.52,117.64,46.01,83.70,146.06,82.46,62.32,81.98,83.24,136.10
prcp,WV,2008,78.09,102.97,110.63,106.30,135.96,152.22,129.10,68.78,51.95,43.68,75.56,151.81
prcp,WV,2009,116.81,37.14,73.55,95.47,171.71,117.48,143.28,93.18,77.05,94.19,37.92,116.86
prcp,WV,2010,93.22,90.59,77.90,53.42,131.22,119.63,113.95,85.53,73.48,62.92,79.49,90.38
prcp,WV,2011,61.49,77.67,148.95,197.75,124.72,91.77,105.89,104.67,166.00,128.18,120.32,102.01
prcp,WV,2012,84.12,57.50,127.68,69.14,125.43,68.42,158.68,67.08,132.86,122.46,18.48,128.95
prcp,WV,2013,109.36,48.45,83.82,58.01,96.28,143.47,149.91,128.94,59.95,54.35,85.44,146.80
prcp,WV,2014,56.46,100.77,75.62,77.72,109.92,116.33,108.41,99.35,50.96,128.87,59.76,87.83
prcp,WV,2015,58.98,65.95,140.20,161.53,59.98,157.90,156.27,68.72,91.28,65.89,57.90,116.59
prcp,WV,2016,64.30,95.32,67.14,73.62,149.75,141.17,126.84,94.25,63.69,94.90,42.42,132.91
prcp,WV,2017,124.65,49.04,105.52,113.91,151.96,109.74,171.26,84.75,45.85,133.50,67.05,50.98
prcp,WV,2018,87.92,185.79,102.92,129.38,141.08,166.69,123.82,152.54,226.41,108.83,124.39,128.86
prcp,WV,2019,96.15,131.70,64.18,96.30,141.02,150.51,115.85,90.02,17.32,129.32,65.55,128.58
prcp,WV,2020,92.64,133.94,102.34,165.75,134.35,118.82,110.48,127.02,66.52,91.65,64.95,106.09
prcp,WV,2021,68.15,93.74,,,,,,,,,,
prcp,WY,1990,12.86,10.02,28.32,38.11,41.73,23.93,43.01,28.58,25.54,20.64,20.54,11.51
prcp,WY,1991,8.81,7.53,18.66,45.62,85.43,60.99,26.52,25.68,33.38,19.19,28.33,5.34
prcp,WY,1992,7.93,8.22,24.09,19.51,42.17,61.04,55.73,19.77,15.02,14.73,15.92,21.87
prcp,WY,1993,15.00,20.15,17.53,39.94,56.52,86.26,45.51,31.77,20.59,33.88,16.17,13.00
prcp,WY,1994,13.46,20.90,12.75,26.71,23.41,22.89,25.59,19.29,16.54,57.92,20.82,15.81
prcp,WY,1995,17.11,13.88,27.13,38.57,97.76,65.56,27.87,12.32,41.27,26.00,21.17,13.10
prcp,WY,1996,25.88,11.80,25.32,29.24,73.86,22.51,21.51,20.74,27.61,25.45,28.11,31.87
prcp,WY,1997,27.47,12.98,13.46,30.49,54.85,51.88,56.80,42.58,37.73,29.20,8.75,14.49
prcp,WY,1998,20.70,14.40,29.60,26.28,37.35,77.75,38.30,34.41,29.04,56.34,21.30,12.07
prcp,WY,1999,21.03,17.59,12.61,64.36,54.81,50.45,19.39,29.09,37.94,7.13,9.43,13.80
prcp,WY,2000,18.75,19.31,19.77,32.75,48.57,25.28,20.61,18.71,31.86,18.37,19.37,14.00
prcp,WY,2001,7.62,16.02,11.03,36.82,27.38,29.87,40.44,16.08,21.61,20.36,18.68,11.54
prcp,WY,2002,10.00,7.29,23.13,25.07,27.62,17.46,23.79,30.87,34.89,25.48,15.04,8.46
prcp,WY,2003,12.96,17.75,34.36,29.83,37.12,50.60,10.73,23.52,27.23,13.17,19.91,20.34
prcp,WY,2004,11.20,18.40,7.73,27.87,29.96,38.06,38.30,23.56,41.94,33.10,13.78,7.42
prcp,WY,2005,14.78,7.58,15.78,37.43,70.82,50.19,21.38,31.80,21.09,36.60,18.56,15.39
prcp,WY,2006,17.13,11.68,19.43,25.41,27.74,16.52,23.02,24.38,32.80,28.03,12.53,17.67
prcp,WY,2007,11.72,15.73,23.45,26.21,39.05,23.27,35.23,35.18,24.56,37.37,8.56,20.54
prcp,WY,2008,18.81,15.88,21.00,14.35,88.63,31.65,23.89,28.58,29.82,23.04,15.32,18.71
prcp,WY,2009,19.09,10.30,27.99,47.38,26.35,83.00,32.16,24.90,14.12,39.37,6.50,14.08
prcp,WY,2010,9.53,9.28,20.47,52.42,65.96,57.21,25.55,22.96,7.04,23.21,25.60,23.95
prcp,WY,2011,14.55,17.35,22.04,49.05,103.85,38.30,23.79,19.36,11.97,39.53,22.32,12.73
prcp,WY,2012,14.74,20.96,11.93,18.46,30.56,15.22,26.69,4.78,12.00,22.60,14.22,19.24
prcp,WY,2013,10.51,13.56,12.69,36.31,47.98,17.35,29.51,22.13,73.77,51.76,9.97,16.42
prcp,WY,2014,14.92,25.03,32.69,30.04,38.73,42.47,30.94,54.14,49.23,11.75,23.89,22.89
prcp,WY,2015,10.49,17.27,9.06,40.46,107.80,45.23,38.77,24.61,14.46,28.35,20.84,19.59
prcp,WY,2016,15.15,10.14,37.78,57.48,51.55,16.69,18.22,22.74,43.94,43.14,13.99,29.08
prcp,WY,2017,25.54,32.80,32.29,57.93,41.35,25.41,21.62,24.02,52.19,16.85,26.48,16.48
prcp,WY,2018,13.41,17.10,24.19,30.07,79.98,51.76,29.46,22.21,5.92,24.16,24.29,13.65
prcp,WY,2019,16.22,25.45,22.01,39.54,79.12,34.54,30.69,29.53,45.88,16.87,19.30,11.69
prcp,WY,2020,15.06,20.33,19.14,24.90,28.62,34.58,15.20,7.59,15.99,16.56,11.47,11.64
prcp,WY,2021,10.36,21.19,,,,,,,,,,
tmin,AL,1990,3.93,6.58,7.84,8.87,14.34,18.53,20.44,20.10,17.15,10.19,5.53,4.47
tmin,AL,1991,3.32,4.23,7.00,13.01,18.11,19.61,21.48,20.47,16.97,10.73,3.21,3.88
tmin,AL,1992,1.16,4.19,5.41,9.09,12.62,17.99,21.24,19.10,17.57,9.68,5.21,3.61
tmin,AL,1993,4.43,1.59,4.86,7.73,14.07,19.19,21.58,20.96,16.97,10.50,3.95,1.89
tmin,AL,1994,-0.51,3.50,5.74,10.65,13.57,20.23,20.51,19.56,16.35,12.50,8.14,4.54
tmin,AL,1995,1.86,2.46,8.43,9.88,15.95,17.78,20.96,22.21,16.94,10.83,3.23,1.20
tmin,AL,1996,-0.03,1.98,4.07,7.85,15.90,19.10,20.64,20.00,16.33,10.51,4.98,3.09
tmin,AL,1997,2.29,4.83,9.10,7.77,12.85,18.49,21.21,19.41,16.98,10.23,3.93,1.63
tmin,AL,1998,3.60,3.78,5.83,9.73,16.04,20.57,22.12,20.54,19.24,12.21,7.70,5.65
tmin,AL,1999,3.43,4.38,4.23,12.71,14.09,19.69,21.46,21.03,15.63,10.31,5.74,1.20
tmin,AL,2000,2.20,3.66,7.53,8.33,16.41,18.88,20.94,20.42,16.96,9.93,5.63,-1.71
tmin,AL,2001,-1.09,5.23,5.28,11.38,14.40,18.87,20.87,20.58,16.64,8.72,6.57,4.13
tmin,AL,2002,2.10,0.82,5.59,12.59,14.94,18.96,21.18,20.40,20.05,15.55,4.51,1.22
tmin,AL,2003,-1.98,2.96,8.40,10.52,16.60,18.76,20.95,21.26,16.61,10.50,7.59,-0.12
tmin,AL,2004,0.49,2.43,7.76,8.53,16.57,20.18,20.64,18.98,17.86,14.89,9.08,0.79
tmin,AL,2005,3.64,4.93,5.59,9.05,13.08,19.58,22.00,21.76,18.36,10.67,6.13,-0.30
tmin,AL,2006,4.26,1.88,6.31,12.24,14.84,18.36,21.26,21.96,16.07,9.38,4.44,2.90
tmin,AL,2007,2.64,0.27,7.85,8.68,14.12,18.93,20.80,22.59,18.13,12.58,4.54,5.00
tmin,AL,2008,0.36,2.54,5.45,10.44,14.95,19.45,20.39,20.23,17.60,10.11,3.09,4.08
tmin,AL,2009,1.23,1.59,7.81,9.40,16.77,20.14,19.79,20.18,19.31,11.77,5.20,2.18
tmin,AL,2010,-1.40,-0.68,4.49,9.74,16.88,21.25,22.34,22.59,17.29,9.20,5.84,-1.42
tmin,AL,2011,-0.73,3.03,7.64,11.44,13.92,20.46,22.16,21.10,16.38,8.14,6.45,3.72
tmin,AL,2012,3.47,5.49,11.53,11.31,16.41,18.52,21.71,20.34,16.64,10.24,2.91,4.68
tmin,AL,2013,4.99,3.04,2.86,9.92,13.65,20.09,20.69,20.49,17.75,11.88,4.52,3.10
tmin,AL,2014,-3.89,2.15,4.35,10.31,14.78,20.01,19.64,20.10,18.74,11.26,2.03,4.60
tmin,AL,2015,0.44,-0.99,8.37,13.00,15.54,20.10,21.82,20.11,17.59,11.97,9.49,8.22
tmin,AL,2016,0.50,3.42,9.09,10.83,14.67,19.81,21.87,22.18,19.08,12.16,6.10,4.35
tmin,AL,2017,5.92,6.52,7.98,12.18,14.63,19.41,21.55,21.00,17.06,12.60,6.31,2.95
tmin,AL,2018,-1.61,9.02,6.36,7.91,17.12,20.46,21.50,20.84,20.97,13.76,4.53,4.39
tmin,AL,2019,2.57,7.71,6.29,10.25,16.83,19.76,21.27,20.99,19.46,13.92,3.14,5.17
tmin,AL,2020,4.30,4.82,11.91,9.62,13.93,19.37,21.91,21.39,18.35,13.18,7.77,0.89
tmin,AL,2021,2.73,1.79,,,,,,,,,,
tmin,AR,1990,1.18,2.92,6.43,9.01,13.05,19.42,20.13,19.63,17.51,7.60,5.76,-0.97
tmin,AR,1991,-1.78,1.05,5.76,11.32,17.27,19.81,20.64,19.33,16.12,10.08,2.44,2.31
tmin,AR,1992,-0.56,3.10,5.01,9.25,13.05,17.87,20.97,17.37,15.04,8.59,3.99,0.57
tmin,AR,1993,-1.25,-1.01,3.59,7.70,13.61,19.03,22.49,21.31,14.47,7.95,1.80,0.11
tmin,AR,1994,-2.77,-0.51,4.22,9.93,12.69,20.33,19.81,18.46,14.39,10.89,6.97,1.90
tmin,AR,1995,-0.56,0.24,5.71,9.10,14.53,17.61,20.62,21.75,14.60,8.68,1.91,-0.20
tmin,AR,1996,-3.17,-0.24,1.08,7.60,16.48,18.74,20.62,19.63,14.73,9.47,2.91,0.86
tmin,AR,1997,-2.48,2.66,5.51,6.89,11.76,17.80,21.20,19.11,15.80,9.44,3.32,0.05
tmin,AR,1998,1.88,2.55,3.88,8.73,16.35,20.71,22.74,20.87,19.23,11.19,6.29,1.04
tmin,AR,1999,-0.34,3.39,3.33,11.36,13.51,19.32,21.86,19.90,14.58,8.67,6.09,0.45
tmin,AR,2000,-0.66,2.64,6.08,8.37,15.69,18.44,20.60,21.44,15.69,10.68,2.66,-5.43
tmin,AR,2001,-2.80,1.49,2.99,12.35,14.62,18.12,22.03,21.11,14.90,8.03,6.38,1.56
tmin,AR,2002,-0.55,-0.44,2.24,11.22,13.37,18.98,21.42,20.63,17.26,10.29,2.88,0.46
tmin,AR,2003,-3.51,-0.79,4.07,9.48,14.82,16.99,20.86,21.02,14.83,9.93,6.84,0.07
tmin,AR,2004,-0.92,-0.95,6.93,9.73,16.11,18.89,19.94,17.92,15.52,12.59,7.46,-1.08
tmin,AR,2005,1.74,3.21,3.60,9.63,12.65,18.90,20.58,21.41,18.07,9.48,5.28,-2.06
tmin,AR,2006,2.10,-1.37,5.30,12.41,14.95,18.38,20.89,21.64,13.76,8.70,4.66,1.30
tmin,AR,2007,-0.97,-1.33,8.78,7.50,15.51,19.26,20.02,22.06,17.43,11.58,4.84,0.48
tmin,AR,2008,-2.42,-0.06,4.16,8.25,13.56,19.64,20.68,19.84,15.99,8.49,3.07,-1.59
tmin,AR,2009,-2.86,2.17,5.47,9.07,14.18,19.88,19.51,18.88,16.60,8.36,6.15,-1.83
tmin,AR,2010,-2.81,-2.35,3.95,10.72,15.53,21.74,22.29,22.27,16.88,8.45,4.63,-1.93
tmin,AR,2011,-3.04,0.33,5.13,10.72,13.55,21.26,23.00,21.84,13.79,8.28,6.34,0.81
