,YEAR,GSP,GDD,GSTmin,GSTmax,frost,summer,HWI,CWI,dry,wet,PRCP95P
1941,1941,3.869512195121951,1555.1000000000006,13.099390243902437,25.865243902439026,2,94,40,149,13,5,4.0
1942,1942,3.3798780487804874,1327.1000000000013,11.957926829268292,24.226219512195115,6,81,22,148,15,3,5.0
1943,1943,3.3963414634146347,1303.8,11.908536585365857,23.99146341463415,7,80,20,156,10,4,2.0
1944,1944,3.342331288343558,1467.1000000000008,12.899390243902433,24.992073170731718,4,91,28,149,15,6,2.0
1945,1945,3.471951219512195,1129.999999999999,10.64329268292683,23.137195121951223,6,66,24,156,19,3,5.0
1946,1946,3.8713414634146335,1223.5,11.196951219512192,23.723780487804888,5,76,13,152,9,5,6.0
1947,1947,2.8467213114754104,1529.4500000000012,12.698170731707311,25.95365853658536,3,92,52,140,18,4,3.0
1948,1948,2.090650406504066,1427.0,11.788414634146344,25.614024390243905,6,94,40,155,15,5,0.0
1949,1949,2.6767276422764232,1500.5749999999994,12.493902439024392,25.805792682926832,2,93,36,153,15,3,2.0
1950,1950,2.984654471544715,1192.3250000000003,10.621036585365848,23.91951219512195,3,69,17,157,13,3,0.0
1951,1951,3.531199186991869,1180.0750000000003,11.637195121951212,22.753963414634143,4,53,7,157,13,4,1.0
1952,1952,2.367987804878048,1219.8249999999996,11.015548780487803,23.860365853658536,13,82,26,159,29,4,1.0
1953,1953,2.326219512195122,1473.025,12.176829268292689,25.786890243902445,2,99,37,152,23,3,1.0
1954,1954,5.602743902439024,1370.5999999999995,12.609451219512197,24.105182926829265,4,86,12,155,13,4,5.0
1955,1955,2.307621951219512,1582.5750000000005,12.811585365853661,26.488109756097558,4,107,48,154,23,5,2.0
1956,1956,2.7774390243902434,1433.875,12.009451219512199,25.476829268292693,5,93,42,155,27,3,2.0
1957,1957,2.8939024390243895,1293.3000000000006,12.142682926829274,23.629268292682923,5,74,16,160,15,4,0.0
1958,1958,1.9003048780487803,1341.1249999999998,11.626219512195124,24.728963414634155,3,79,29,155,18,5,2.0
