,YEAR,GSP,GDD,GSTmin,GSTmax,frost,summer,HWI,CWI,dry,wet,PRCP95P
1959,1959,3.5646341463414615,1379.35,12.519512195121948,24.30182926829268,6,89,28,158,14,8,3.0
1960,1960,2.5250000000000004,1384.5999999999995,12.071036585365855,24.814329268292685,2,84,23,152,21,4,1.0
1961,1961,2.7079268292682936,1337.7999999999995,11.577134146341466,24.737499999999997,3,87,32,154,12,4,1.0
1962,1962,4.29420731707317,1330.7750000000003,12.316768292682926,23.91219512195122,0,76,17,147,13,3,3.0
1963,1963,3.36981707317073,1517.3000000000002,12.865243902439019,25.63841463414635,2,97,39,150,20,4,4.0
1964,1964,3.283536585365853,1357.1499999999994,11.592682926829271,24.95792682926829,6,83,38,156,15,4,3.0
1965,1965,4.189634146341462,1302.5000000000005,11.978048780487805,23.90609756097561,2,77,20,154,13,8,3.0
1966,1966,3.3164634146341463,1311.175,11.91768292682927,24.072256097560974,5,79,22,158,15,6,4.0
1967,1967,2.846951219512195,1122.1499999999999,10.249695121951222,23.43506097560975,4,74,14,160,17,4,3.0
1968,1968,3.7963414634146337,1244.1000000000001,11.584756097560977,23.587195121951222,3,71,23,151,11,5,2.0
1969,1969,4.227439024390242,1249.5499999999993,11.488109756097561,23.750304878048777,3,80,18,155,12,4,6.0
1970,1970,3.7609756097560973,1421.7000000000007,12.466463414634143,24.87134146341463,5,91,30,158,13,5,2.0
1971,1971,2.9966463414634146,1388.749999999999,11.80823170731708,25.12774390243902,1,96,38,151,16,3,2.0
1972,1972,3.64542682926829,1319.1750000000004,11.849695121951212,24.23780487804877,6,77,30,161,12,5,2.0
1973,1973,3.242073170731707,1503.0749999999996,13.164939024390236,25.16524390243902,0,89,27,149,11,4,3.0
1974,1974,2.4560975609756093,1277.4249999999997,11.281402439024388,24.296951219512195,6,82,25,162,17,4,0.0
1975,1975,2.4905487804878055,1528.2750000000003,12.809756097560982,25.82774390243903,4,93,43,156,22,3,2.0
1976,1976,1.8417682926829266,1399.7250000000001,10.990853658536587,26.078963414634156,10,103,45,162,14,3,0.0
1977,1977,3.1371951219512186,1486.9750000000008,12.627439024390238,25.506402439024384,2,94,33,159,10,4,2.0
1978,1978,3.5460365853658535,1483.174999999999,12.339634146341464,25.747865853658524,6,99,31,151,15,7,3.0
1979,1979,3.7350609756097537,1335.625,11.278353658536584,25.009756097560967,8,88,21,155,15,8,3.0
1980,1980,5.05,1463.0749999999994,12.107621951219512,25.734756097560965,5,101,37,159,12,6,6.0
1981,1981,4.625609756097561,1303.6000000000001,11.544207317073171,24.35335365853658,5,83,14,158,16,8,4.0
1982,1982,3.738719512195122,1284.8,11.97926829268292,23.689024390243894,3,71,16,153,16,9,2.0
1983,1983,4.206707317073168,1484.7749999999999,12.286280487804873,25.820731707317066,8,96,47,152,15,8,4.0
1984,1984,3.7978658536585375,1463.0,12.416158536585362,25.42530487804878,5,93,30,151,12,12,3.0
1985,1985,3.1716463414634144,1332.575,11.773170731707314,24.477743902439016,5,83,28,148,10,5,1.0
1986,1986,3.9731707317073166,1304.6000000000006,11.826219512195118,24.08353658536584,3,80,19,159,13,7,2.0
1987,1987,2.5131097560975597,1536.25,13.059451219512194,25.675304878048802,7,99,34,155,24,5,0.0
1988,1988,2.221341463414635,1656.6750000000004,12.823475609756102,27.379878048780483,9,115,57,156,17,5,3.0
1989,1989,1.513719512195122,1317.2249999999992,10.93109756097561,25.1326219512195,11,103,27,161,14,3,0.0
1990,1990,4.70670731707317,1303.7250000000001,12.0234756097561,23.87560975609756,4,80,15,156,17,5,2.0
1991,1991,3.640243902439024,1405.7749999999992,12.537804878048787,24.60579268292683,8,87,20,155,13,5,2.0
1992,1992,3.4749999999999983,1014.7750000000004,9.771951219512202,22.603353658536573,6,54,8,160,20,10,2.0
1993,1993,4.467987804878048,1049.55,10.677743902439024,22.121646341463407,6,54,3,159,10,10,2.0
1994,1994,3.875304878048778,1361.049999999999,12.223475609756095,24.374695121951216,1,80,16,152,11,10,2.0
1995,1995,3.78262195121951,1374.8500000000008,12.126524390243905,24.63993902439025,6,92,22,161,13,6,5.0
1996,1996,2.747560975609756,1175.4999999999995,10.853963414634144,23.48140243902439,6,84,15,163,11,8,1.0
1997,1997,3.1146341463414626,1301.625,11.425609756097556,24.44786585365853,6,85,14,158,13,11,1.0
1998,1998,3.473475609756097,1463.8750000000005,12.632621951219503,25.21951219512195,2,103,22,157,15,6,0.0
1999,1999,4.386280487804876,1305.2250000000001,11.706097560975605,24.21128048780487,5,73,18,162,13,6,5.0
2000,2000,3.3201219512195115,1257.5249999999996,11.292682926829272,24.04298780487805,6,81,21,161,16,5,2.0
2001,2001,2.1652439024390246,1257.2749999999994,11.351219512195126,23.981402439024393,6,74,17,162,19,8,0.0
2002,2002,3.691463414634145,1355.6000000000006,11.916463414634148,24.61524390243901,8,90,28,159,12,4,4.0
2003,2003,2.2432926829268274,1282.3,10.888414634146347,24.74939024390245,7,91,25,158,22,7,0.0
2004,2004,4.906097560975608,1135.3999999999996,10.675304878048783,23.17103658536586,7,64,12,157,13,5,7.0
2005,2005,4.235060975609756,1477.4250000000009,12.67896341463415,25.338414634146343,2,98,27,154,12,7,3.0
2006,2006,2.494512195121951,1302.825,11.810975609756103,24.077134146341457,5,94,16,158,17,5,1.0
2007,2007,4.571036585365852,1494.3999999999994,12.71676829268293,25.5076219512195,1,102,30,149,10,7,2.0
2008,2008,4.137195121951218,1292.4250000000006,11.469207317073167,24.292073170731708,1,89,9,157,11,7,3.0
2009,2009,2.768902439024388,1046.675,10.460365853658535,22.303963414634136,8,59,7,164,29,7,1.0
2010,2010,2.8957317073170725,1463.600000000001,12.467682926829264,25.38109756097561,4,98,23,161,24,6,1.0
2011,2011,2.235670731707317,1428.1250000000005,12.427743902439024,24.988414634146366,2,92,31,154,14,4,0.0
2012,2012,1.2594512195121956,1457.9999999999993,11.412804878048782,26.367682926829264,9,107,42,163,27,3,0.0
2013,2013,3.5698170731707304,1394.8500000000008,12.293902439024393,24.716463414634145,4,82,26,153,21,15,0.0
2014,2014,3.5091463414634125,1235.6750000000004,11.458841463414647,23.610365853658532,6,82,3,163,14,7,0.0
2015,2015,3.6499999999999995,1381.6249999999993,12.313414634146335,24.53567073170731,2,89,19,152,21,5,1.0
