Program,Year,Commodity,Data Item,Domain,Domain Category,Value
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, POTS, GE 5 INCHES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, POTS, GE 5 INCHES - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, POTS, LT 5 INCHES - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,15
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, POTS, LT 5 INCHES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, POTS, LT 5 INCHES - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,86
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"83,638"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, FLATS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,81
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, FLATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"64,465"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, FLATS - SALES, MEASURED IN FLATS",TOTAL,NOT SPECIFIED,"3,892"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, HANGING BASKETS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,4
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, HANGING BASKETS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, HANGING BASKETS - SALES, MEASURED IN BASKETS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, POTS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,18
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, POTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, POTS - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, POTS, GE 5 INCHES - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,3
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, POTS, GE 5 INCHES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, POTS, GE 5 INCHES - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, POTS, LT 5 INCHES - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,15
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, POTS, LT 5 INCHES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, RETAIL, POTS, LT 5 INCHES - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,10
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"10,909"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE, FLATS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,10
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE, FLATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"9,983"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE, FLATS - SALES, MEASURED IN FLATS",TOTAL,NOT SPECIFIED,781
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE, HANGING BASKETS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,2
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE, HANGING BASKETS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE, HANGING BASKETS - SALES, MEASURED IN BASKETS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE, POTS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,2
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE, POTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE, POTS - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE, POTS, LT 5 INCHES - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,2
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE, POTS, LT 5 INCHES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, WHOLESALE, POTS, LT 5 INCHES - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA) - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,132
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA) - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"243,822"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), FLATS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,130
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), FLATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"242,012"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), FLATS - SALES, MEASURED IN FLATS",TOTAL,NOT SPECIFIED,"15,424"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), POTS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,5
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), POTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,810"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), POTS - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED,590
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), POTS, GE 5 INCHES - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,2
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), POTS, GE 5 INCHES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), POTS, GE 5 INCHES - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), POTS, LT 5 INCHES - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,3
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), POTS, LT 5 INCHES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), POTS, LT 5 INCHES - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,128
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"224,114"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL, FLATS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,126
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL, FLATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"222,304"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL, FLATS - SALES, MEASURED IN FLATS",TOTAL,NOT SPECIFIED,"13,559"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL, POTS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,5
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL, POTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,810"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL, POTS - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED,590
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL, POTS, GE 5 INCHES - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,2
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL, POTS, GE 5 INCHES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL, POTS, GE 5 INCHES - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL, POTS, LT 5 INCHES - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,3
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL, POTS, LT 5 INCHES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), RETAIL, POTS, LT 5 INCHES - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), WHOLESALE - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,14
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), WHOLESALE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"19,708"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), WHOLESALE, FLATS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,14
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), WHOLESALE, FLATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"19,708"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, ALYSSUM, SWEET (LOBULARIA), WHOLESALE, FLATS - SALES, MEASURED IN FLATS",TOTAL,NOT SPECIFIED,"1,865"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,300
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,616,855"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, FLATS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,237
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, FLATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"949,993"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, FLATS - SALES, MEASURED IN FLATS",TOTAL,NOT SPECIFIED,"85,441"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, HANGING BASKETS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,169
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, HANGING BASKETS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"744,232"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, HANGING BASKETS - SALES, MEASURED IN BASKETS",TOTAL,NOT SPECIFIED,"49,796"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, POTS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,189
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, POTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"922,630"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, POTS - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED,"291,308"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, POTS, GE 5 INCHES - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,31
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, POTS, GE 5 INCHES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"212,679"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, POTS, GE 5 INCHES - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED,"50,421"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, POTS, LT 5 INCHES - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,173
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, POTS, LT 5 INCHES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"709,951"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, POTS, LT 5 INCHES - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED,"240,887"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, BEGONIA, RETAIL - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,284
